rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
581, -1, Combaud Romain, Team DSM, France, 66, 17, 46, 369, 341, 0, 323, 174, 30, 1.75, 63, 0, 0, 0, 2, 8, 9172, 57
582, -1, Lobato Juan José, Euskaltel - Euskadi, Spain, 66, -12, 59, 1316, 621, 50, 3030, 299, 32, 1.73, 64, 1, 15, 7, 11, 12, 10253, 65
583, -1, Tusveld Martijn, Team DSM, Netherlands, 66, 2, 90, 98, 383, 279, 129, 188, 28, 1.87, 70, 0, 0, 4, 3, 10, 9498, 58
584, -1, Langeveld Sebastian, EF Education - Nippo, Netherlands, 66, 51, 65, 2201, 1248, 1108, 1124, 258, 36, 1.78, 67, 0, 7, 9, 43, 18, 8609, 54
585, 0, Tagliani Filippo, Androni Giocattoli - Sidermec, Italy, 65, 64, 50, 23, 69, 42, 132, 18, 26, 1.8, 70, 0, 0, 1, 2, 5, 8765, 59
586, 0, Eyob Metkel, Terengganu Cycling Team, Eritrea, 65, 62, 215, 169, 256, 26, 488, 260, 28,  ,  , 0, 1, 0, 0, 9, 3415, 27
587, 0, Boguslawski Marceli, HRE Mazowsze Serce Polski, Poland, 65, 60, 82, 0, 47, 206, 92, 0, 24, 1.83, 77, 2, 0, 0, 0, 4, 7709, 55
588, 1, Penhoët Paul, Equipe continentale Groupama-FDJ, France, 65, 63, 118, 30, 25, 0, 47, 0, 19, 1.74, 64, 2, 0, 0, 0, 2, 4490, 29
589, 1, Haga Chad, Team DSM, United States, 64, -41, 67, 80, 475, 1290, 67, 129, 33, 1.91, 72, 0, 2, 12, 5, 11, 7747, 52
590, 1, Cataldo Dario, Movistar Team, Italy, 64, -17, 45, 633, 1577, 1149, 772, 1716, 36, 1.75, 64, 0, 5, 23, 24, 16, 11514, 73
591, 1, Bauer Jack, Team BikeExchange, New Zealand, 64, -80, 61, 624, 703, 741, 434, 196, 36, 1.91, 74, 0, 6, 8, 21, 13, 9458, 56
592, 1, Lindeman Bert-Jan, Team Qhubeka NextHash, Netherlands, 64, 7, 0, 587, 496, 21, 571, 260, 32, 1.8, 69, 0, 4, 9, 16, 13, 12621, 80
593, 2, Scaroni Christian, Gazprom - RusVelo, Italy, 64, 56, 87, 82, 40, 3, 91, 80, 24, 1.75, 63, 0, 0, 0, 0, 4, 7967, 49
594, 2, Huys Laurens, Bingoal Pauwels Sauces WB, Belgium, 64, 14, 78, 46, 86, 4, 72, 30, 23,  ,  , 0, 0, 0, 2, 5, 8289, 51
595, 2, Kreder Wesley, Intermarché - Wanty - Gobert Matériaux, Netherlands, 63, 62, 13, 685, 102, 30, 716, 8, 31, 1.83, 71, 0, 2, 2, 11, 13, 10870, 65
